name,review,Overall Company Rating
Ramesh Rami,One of the Worst experience ever faced in my interview trails. Attend interview on 30 th august 2018 for the role Tech Support Executive. I went there around 10.30 in the morning and we were waiting there in visitor room beside Gate area …More,4.2
Siva Dharmini Kolli,Campus is quite good. Food in cafeteria of Infocity is too worst. If you eat that you hate eating again. And eminities are very less. In washrooms you don't see toilet papers. This causes higene issues. Security guards behaviour is too rude …More,4.2
Peetam Bose,Too good campus with all aminities for awesome work life balance and keeping yourself rejoice for the next big thing.,4.2
vinay singh,"Spread across a large area in a very prime location near Cyber tower. Large gardens, parking lots, and other facilities. Beautiful place.",4.2
VivekSindhu1,"I went to the Tech mahindra. The office infrastructure is very nice as well as the security is good. I went for interview purpose, they took the whole day for only a 10 minute interview. It's not good for any candidate.",4.2
Nagendrakumar kalagara,"Very cool & No pressure, it's like government jobAwesome company",4.2
prakruthi daytodayneeds,TA team is not at all organised wil score fr the way the set interviews.. as  0 … as some one reviewed already yes they won’t share all details and get ur signature first and then the truth comes out # salary so many hidden clauses 365 days …More,4.2
SRINIVASA DEVI KURMA,I feel very happy work with this organisation,4.2
Pramod Kumar Sharma,Good place but a long wait time,4.2
Raj Naga,Nice work place .very honor to work in Techm .,4.2
Shinezzz,"Please meet HR dev, he is very much helpful and the inputs which is gave are amazing and helped me a lot to crack interviews instantly. Dev does a great work..😊 thank you.",4.2
swangi jha,It's very nice palace ..and very friendly also,4.2
Syed Mohsin Uddin Ahmed,"I recently attended a interview over here, HR Dev been very helpful and guided initially in a simple manner to most of the people the ethics, simplicity and what must needed to be followed for interview in a clear way, it's been really helpful..",4.2
Sreedhar Rao,Such a great experience in live in concert by Alka Yagnik. It 3as amazing,4.2
Panneru Vikas raj Vicky,Bad experience they do fruad with salery don't sine any forms without reading itBe carefull with tech Mahindra it's play smart with salery. Please don't sign any documents with out knowing. They will not explain before and make you to sine all documents.,4.2
Aravind M,December 2023 from now on don't go to interviews . waste of time and money for freshers.they just ask tell me about yourself and they told you to leave in 5 mins .,4.2
Bhavya Sri,"Horrible experience. Being big and well known company , they treats employees very very bad. Employees are only puppets in manager handsThey fire employees without reason , if managers doesn't like them they torture like any . No one responds you over complaints on manager.",4.2
Vishu,"Only Infrastructure is good. For me one of the worst organizations to work with. 1. Employees will not get proper hikes. 2. Lot of internal politics will happen, bad managers. 3. Poor Management in handling projects, Some HRs will join with …More",4.2
Ravi teja,"The whole Interview process  went well. HR Dev is so great and helpfull. Please reach out to HR Dev, whenever you visit Tech M campus. It's a great place to work.",4.2
ManiKanta A,Best company in hyderabad with lot's of good atmosphere with scope of growth 🤗,4.2
Vishal Biradar,A very huge campus.. located at the heart of the city. Very good place to work.. highly secured,4.2
H D,"Had corporate events conducted here, was ok. The public working here is probably full of introverts, maybe tech Mahindra needs to give them a hike 😂",4.2
Raza Razvi,A good company for freshers as well as for those who wants to build up their careers. Currently openings for both voice & non voice are going on.....Good packages for both freshers as well as experienced. Interview process is not too tough to crack. A nice and big canteen. The ambience in the organization is nice overall as well.,4.2
Payel Bhattacharjee,Have a Good Ambience and Comfortable to work. Cafeterias have Variety during the week but only on Weekends we don't have food Available..,4.2
Raya Sravan,"Good company for freshers with good communication can Easily crack job in here, Best entry level Mnc For job seekeer's.",4.2
